x0,x1,x2,x3,x4
0.145,9.95,0.0003861591,11.0,200.0
0.145,9.95,0.0003861591,11.0,220.0
0.145,9.95,0.0003861591,37.0,200.0
0.145,9.95,0.0003861591,37.0,220.0
0.145,9.95,0.0005213425,11.0,200.0
0.145,9.95,0.0005213425,11.0,220.0
0.145,9.95,0.0005213425,37.0,200.0
0.145,9.95,0.0005213425,37.0,220.0
0.145,10.05,0.0003861591,11.0,200.0
0.145,10.05,0.0003861591,11.0,220.0
0.145,10.05,0.0003861591,37.0,200.0
0.145,10.05,0.0003861591,37.0,220.0
0.145,10.05,0.0005213425,11.0,200.0
0.145,10.05,0.0005213425,11.0,220.0
0.145,10.05,0.0005213425,37.0,200.0
0.145,10.05,0.0005213425,37.0,220.0
0.155,9.95,0.0003861591,11.0,200.0
0.155,9.95,0.0003861591,11.0,220.0
0.155,9.95,0.0003861591,37.0,200.0
0.155,9.95,0.0003861591,37.0,220.0
0.155,9.95,0.0005213425,11.0,200.0
0.155,9.95,0.0005213425,11.0,220.0
0.155,9.95,0.0005213425,37.0,200.0
0.155,9.95,0.0005213425,37.0,220.0
0.155,10.05,0.0003861591,11.0,200.0
0.155,10.05,0.0003861591,11.0,220.0
0.155,10.05,0.0003861591,37.0,200.0
0.155,10.05,0.0003861591,37.0,220.0
0.155,10.05,0.0005213425,11.0,200.0
0.155,10.05,0.0005213425,11.0,220.0
0.155,10.05,0.0005213425,37.0,200.0
0.155,10.05,0.0005213425,37.0,220.0
